date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:12:20	374452/374452	---M--	200	added ('OK')	image/jpeg	etag:%2245bef8a5fd1eda1:0%22	https://startours.co.uk/Content/Images/Destinations/dreamstime_xl_130401180_345x410.jpg	D:/demo/startours.co.uk/Content/Images/Destinations/dreamstime_xl_130401180_345x410.jpg	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:21	105539/105539	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Sep%202024%2020:12:16%20GMT	https://startours.co.uk/tour/05-days-charms-of-europe	D:/demo/startours.co.uk/tour/05-days-charms-of-europe-2.html	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:21	411630/411630	---M--	200	added ('OK')	image/jpeg	etag:%227822815c101da1:0%22	https://startours.co.uk/Content/Images/Slides/dreamstime_xl_76744162_345x410.jpg	D:/demo/startours.co.uk/Content/Images/Slides/dreamstime_xl_76744162_345x410.jpg	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:21	365688/365688	---M--	200	added ('OK')	image/jpeg	etag:%227f5d8a16ca8da1:0%22	https://startours.co.uk/Content/Images/Destinations/bern_345x410_1.jpg	D:/demo/startours.co.uk/Content/Images/Destinations/bern_345x410_1.jpg	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:23	111089/111089	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Sep%202024%2020:12:19%20GMT	https://startours.co.uk/tour/05-Days-Swiss-Alpine	D:/demo/startours.co.uk/tour/05-Days-Swiss-Alpine.html	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:23	389264/389264	---M--	200	added ('OK')	image/png	etag:%228fec41c5982da1:0%22	https://startours.co.uk/Content/Images/Slides/AdobeStock_122515021_345x410.png	D:/demo/startours.co.uk/Content/Images/Slides/AdobeStock_122515021_345x410.png	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:23	390893/390893	---M--	200	added ('OK')	image/jpeg	etag:%2285d9df53992da1:0%22	https://startours.co.uk/Content/Images/Slides/dreamstime_xl_98823420_345x410.jpg	D:/demo/startours.co.uk/Content/Images/Slides/dreamstime_xl_98823420_345x410.jpg	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:24	111926/111926	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Sep%202024%2020:12:19%20GMT	https://startours.co.uk/tour/05-Days-Swiss-Express	D:/demo/startours.co.uk/tour/05-Days-Swiss-Express.html	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:24	340416/340416	---M--	200	added ('OK')	image/jpeg	etag:%2275a5e93df1da1:0%22	https://startours.co.uk/Content/Images/Destinations/dreamstime_xxl_20864755_345x410.jpg	D:/demo/startours.co.uk/Content/Images/Destinations/dreamstime_xxl_20864755_345x410.jpg	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:24	411372/411372	---M--	200	added ('OK')	image/jpeg	etag:%22892fd4af992da1:0%22	https://startours.co.uk/Content/Images/Slides/swiss(8)_345x410.jpg	D:/demo/startours.co.uk/Content/Images/Slides/swiss(8)_345x410.jpg	(from https://startours.co.uk/holidays/Coach-Holidays)
